MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_14b2</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cells are pulverized through a combination of extreme cold.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.
MAT	<p>45a0_b24e</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cold temperatures form ice crystals, which expand, ultimately causing the <strong><span style="color: #b74300;">cell</span> </strong>wall to rupture.
MAT	<p>45a0_0e2f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.
MAT	<p>45a0_7004</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."
MAT	<p>45a0_def6</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Drill-like device with spinning rotor blades to shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
MAT	<p>45a0_93d2</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.
MAT	<p>45a0_54ec</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Glass or ceramic particles stirred at high speeds crack <strong><span style="color: #d40000;">cells</span></strong> open.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.
MAT	<p>45a0_c774</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #003fff;">French Press</span></strong>	Cell suspension is forced through a narrow valve using a hydraulic piston.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_4128</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	High-frequency sound waves produce tiny bubbles that explode, producing a local shockwave.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_2197</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cold temperatures form ice crystals, which expand, ultimately causing the <strong><span style="color: #b74300;">cell</span> </strong>wall to rupture.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are forced through a tiny hole by a high-pressure hydraulic piston.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
MAT	<p>45a0_914a</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.
